,filename,cell_type,cell_type_dual,mesh_type,activation_time,cell_surface_area_um^2,mesh_density,equivalent_diameter_area_um^2_mean,equivalent_diameter_area_um^2_median,area_um^2_mean,area_um^2_median,perimeter_um_mean,perimeter_um_median
51982,8min_FOV2_decon_bottom.tif,CAR_antiCD22,CAR,Basal,8min,113.09992957797478,56.56372757586852,0.00906889418644553,0.0077842541387124,0.126026217615562,0.0425259226815257,1.2536708629703588,0.7326038104844601
52419,8min_FOV2_decon_bottom.tif,CAR_antiCD22,CAR,Cytosolic,8min,96.63568288085354,53.90904563930933,0.00906889418644553,0.0077842541387124,0.126026217615562,0.0425259226815257,1.2536708629703588,0.7326038104844601
52748,8min_FOV2_decon_top.tif,CAR_antiCD19,CAR,Basal,8min,84.68142219443094,54.2851101507883,0.010656218766861772,0.0077842541387124,0.2891818523190036,0.0425259226815257,2.154849474533313,0.7522001243527828
52981,8min_FOV2_decon_top.tif,CAR_antiCD19,CAR,Cytosolic,8min,81.09917276012662,36.714135894463766,0.010656218766861772,0.0077842541387124,0.2891818523190036,0.0425259226815257,2.154849474533313,0.7522001243527828
53069,8min_FOV3_decon_bottom.tif,CAR_antiCD22,CAR,Basal,8min,93.90056132910996,60.149774526738,0.009118212990853488,0.0075716492662848,0.14695856896647116,0.0413644474514702,1.3432863067464889,0.7486899767965216
53412,8min_FOV3_decon_bottom.tif,CAR_antiCD22,CAR,Cytosolic,8min,84.67737808552292,52.923254917084456,0.009118212990853488,0.0075716492662848,0.14695856896647116,0.0413644474514702,1.3432863067464889,0.7486899767965216
53620,8min_FOV3_decon_top_right.tif,CAR_dual,CAR,Basal,8min,117.4978900620829,57.23126522822653,0.009275290286545288,0.0074713580929728,0.1697269901224228,0.0402759093606421,1.48512249785764,0.7145246059816635
54091,8min_FOV3_decon_top_right.tif,CAR_dual,CAR,Cytosolic,8min,130.60824282801732,43.272075676126185,0.009275290286545288,0.0074713580929728,0.1697269901224228,0.0402759093606421,1.48512249785764,0.7145246059816635
54376,8min_FOV4_decon_bottom.tif,CAR_dual,CAR,Basal,8min,100.4437042464536,62.77198310739661,0.010837525501908606,0.0083332754403549,0.20083583108026787,0.0489876961863502,1.667544287985207,0.8365463356481849
54710,8min_FOV4_decon_bottom.tif,CAR_dual,CAR,Cytosolic,8min,108.5578481056836,47.44679760012307,0.010837525501908606,0.0083332754403549,0.20083583108026787,0.0489876961863502,1.667544287985207,0.8365463356481849
54879,8min_FOV4_decon_top.tif,CAR_antiCD22,CAR,Basal,8min,147.04102353025624,59.317028848338005,0.009371575611180995,0.0076417048667439,0.153943318304949,0.0411941990657945,1.3521336931822892,0.730720461499375
55395,8min_FOV4_decon_top.tif,CAR_antiCD22,CAR,Cytosolic,8min,141.5788954054782,50.71167940612123,0.009371575611180995,0.0076417048667439,0.153943318304949,0.0411941990657945,1.3521336931822892,0.730720461499375
55762,8min_FOV5_decon_left.tif,CAR_dual,CAR,Basal,8min,39.56183081058067,63.09390236438932,0.007894460463712847,0.0059018971716598,0.14469597768054138,0.0338969969612678,1.5348925564058962,0.706865043227997
55910,8min_FOV5_decon_left.tif,CAR_dual,CAR,Cytosolic,8min,54.77996830347749,53.50128913443831,0.007894460463712847,0.0059018971716598,0.14469597768054138,0.0338969969612678,1.5348925564058962,0.706865043227997
56060,8min_FOV5_decon_right.tif,CAR_dual,CAR,Basal,8min,164.9621569260786,51.14190101567545,0.006849245092575245,0.0054640950283135,0.12977707408028283,0.0290545688239438,1.2680553926474836,0.6055011729646183
56657,8min_FOV5_decon_right.tif,CAR_dual,CAR,Cytosolic,8min,147.14605673750745,52.068055791708034,0.006849245092575245,0.0054640950283135,0.12977707408028283,0.0290545688239438,1.2680553926474836,0.6055011729646183
57245,8min_FOV6_decon_bottom.tif,CAR_antiCD19,CAR,Basal,8min,163.91283143952788,61.36974949736456,0.008011811604189109,0.0069947185701224,0.10690614179849313,0.0345140586767467,1.0621215085080817,0.6444405237879941
58001,8min_FOV6_decon_bottom.tif,CAR_antiCD19,CAR,Cytosolic,8min,148.67877128230444,55.84202604443579,0.008011811604189109,0.0069947185701224,0.10690614179849313,0.0345140586767467,1.0621215085080817,0.6444405237879941
59325,8min_FOV7_decon_top_right.tif,CAR_dual,CAR,Basal,8min,207.91452107798028,54.23115929358279,0.011080702587468383,0.0089875310473501,0.19088406692998336,0.0436260579285847,1.461388644918774,0.7272560936745487
59868,8min_FOV7_decon_top_right.tif,CAR_dual,CAR,Cytosolic,8min,145.9029881363589,50.2611330383128,0.011080702587468383,0.0089875310473501,0.19088406692998336,0.0436260579285847,1.461388644918774,0.7272560936745487
